signature_name,gene_id,gene_type,gene_name_old,weight
COX-IS_Bonavita,ENSG00000112715.26,protein_coding,VEGFA,1
COX-IS_Bonavita,ENSG00000108691.10,protein_coding,CCL2,1
COX-IS_Bonavita,ENSG00000169429.12,protein_coding,CXCL8,1
COX-IS_Bonavita,ENSG00000163739.5,protein_coding,CXCL1,1
COX-IS_Bonavita,ENSG00000081041.9,protein_coding,CXCL2,1
COX-IS_Bonavita,ENSG00000108342.13,protein_coding,CSF3,1
COX-IS_Bonavita,ENSG00000136244.12,protein_coding,IL6,1
COX-IS_Bonavita,ENSG00000125538.12,protein_coding,IL1B,1
COX-IS_Bonavita,ENSG00000115008.6,protein_coding,IL1A,1
COX-IS_Bonavita,ENSG00000271503.6,protein_coding,CCL5,-1
COX-IS_Bonavita,ENSG00000138755.6,protein_coding,CXCL9,-1
COX-IS_Bonavita,ENSG00000169245.6,protein_coding,CXCL10,-1
COX-IS_Bonavita,ENSG00000169248.13,protein_coding,CXCL11,-1
COX-IS_Bonavita,ENSG00000168811.7,protein_coding,IL12A,-1
COX-IS_Bonavita,ENSG00000113302.6,protein_coding,IL12B,-1
COX-IS_Bonavita,ENSG00000111537.5,protein_coding,IFNG,-1
COX-IS_Bonavita,ENSG00000153563.16,protein_coding,CD8A,-1
COX-IS_Bonavita,ENSG00000172116.23,protein_coding,CD8B,-1
COX-IS_Bonavita,ENSG00000145649.8,protein_coding,GZMA,-1
COX-IS_Bonavita,ENSG00000100453.14,protein_coding,GZMB,-1
COX-IS_Bonavita,ENSG00000163508.13,protein_coding,EOMES,-1
COX-IS_Bonavita,ENSG00000180644.8,protein_coding,PRF1,-1
COX-IS_Bonavita,ENSG00000115415.20,protein_coding,STAT1,-1
COX-IS_Bonavita,ENSG00000073861.3,protein_coding,TBX21,-1
