"","signature_name","sub_signature_name","gene_id","gene_type","gene_name","weight"
"1","IPRES","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000166825.15","protein_coding","ANPEP",NA
"2","IPRES","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000182492.16","protein_coding","BGN",NA
"3","IPRES","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000125378.16","protein_coding","BMP4",NA
"4","IPRES","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000179776.19","protein_coding","CDH5",NA
"5","IPRES","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000168542.16","protein_coding","COL3A1",NA
"6","IPRES","MAPKi_INDUCED_ANGIOGENESIS",NA,NA,"CYR61",NA
"7","IPRES","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000128917.8","protein_coding","DLL4",NA
"8","IPRES","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000078401.7","protein_coding","EDN1",NA
"9","IPRES","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000164035.10","protein_coding","EMCN",NA
"10","IPRES","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000125968.9","protein_coding","ID1",NA
"11","IPRES","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000128052.10","protein_coding","KDR",NA
"12","IPRES","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000099250.18","protein_coding","NRP1",NA
"13","IPRES","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000122861.16","protein_coding","PLAU",NA
"14","IPRES","MAPKi_INDUCED_ANGIOGENESIS",NA,NA,"PPAP2B",NA
"15","IPRES","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000163421.9","protein_coding","PROK2",NA
"16","IPRES","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000167157.11","protein_coding","PRRX2",NA
"17","IPRES","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000143878.10","protein_coding","RHOB",NA
"18","IPRES","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000154133.15","protein_coding","ROBO4",NA
"19","IPRES","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000164736.6","protein_coding","SOX17",NA
"20","IPRES","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000203883.7","protein_coding","SOX18",NA
"21","IPRES","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000092969.12","protein_coding","TGFB2",NA
"22","IPRES","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000137801.11","protein_coding","THBS1",NA
"23","IPRES","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000154096.14","protein_coding","THY1",NA
"24","IPRES","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000112715.26","protein_coding","VEGFA",NA
"25","IPRES","MAPKi_INDUCED_ANGIOGENESIS","ENSG00000150630.4","protein_coding","VEGFC",NA
